id,user_id,action_click recommended menu,action_click recommended menues,action_click_genetic_rec,action_enter,action_enter_store,action_like,action_search_cate,action_search_input,action_กรอกประวัติความหิว,action_สั่งอาหาร,action_เพิ่มเข้าตะกร้า,action_ใช้โค้ด,clusters
1144,52,0,0,0,1,0,0,0,0,0,0,0,0,0
1148,52,0,0,0,1,0,0,0,0,0,0,0,0,0
1152,52,0,0,0,0,0,0,0,0,0,0,1,0,3
1160,52,0,0,0,0,0,0,0,0,0,1,0,0,0
411,18,0,0,0,1,0,0,0,0,0,0,0,0,0
412,18,0,0,0,1,0,0,0,0,0,0,0,0,0
413,18,0,0,0,0,1,0,0,0,0,0,0,0,5
414,18,0,0,0,0,0,0,0,0,0,1,0,0,4
415,18,0,0,0,1,0,0,0,0,0,0,0,0,0
416,18,0,0,0,1,0,0,0,0,0,0,0,0,0
417,18,0,0,0,0,1,0,0,0,0,0,0,0,5
418,18,0,0,0,0,1,0,0,0,0,0,0,0,5
419,18,0,0,0,0,0,0,0,0,0,1,0,0,0
420,18,0,0,0,1,0,0,0,0,0,0,0,0,0
421,18,0,0,0,0,0,0,1,0,0,0,0,0,4
422,18,0,0,0,0,0,0,1,0,0,0,0,0,4
423,18,0,0,0,0,0,0,1,0,0,0,0,0,4
424,18,0,0,0,0,0,0,1,0,0,0,0,0,4
425,18,0,0,0,0,0,0,1,0,0,0,0,0,4
426,18,0,0,0,0,0,0,1,0,0,0,0,0,4
754,36,0,0,0,1,0,0,0,0,0,0,0,0,0
756,36,0,0,0,0,0,0,0,0,1,0,0,0,0
758,36,0,0,0,1,0,0,0,0,0,0,0,0,0
760,36,0,0,0,0,1,0,0,0,0,0,0,0,5
762,37,0,0,0,0,0,0,1,0,0,0,0,0,4
764,37,0,0,0,0,1,0,0,0,0,0,0,0,5
438,19,0,0,0,1,0,0,0,0,0,0,0,0,0
439,19,0,0,0,0,0,0,1,0,0,0,0,0,4
440,19,0,0,0,0,0,1,0,0,0,0,0,0,0
441,19,0,0,0,1,0,0,0,0,0,0,0,0,0
442,19,0,0,0,0,0,0,1,0,0,0,0,0,4
443,19,0,0,0,0,1,0,0,0,0,0,0,0,5
528,17,0,0,0,1,0,0,0,0,0,0,0,0,0
529,17,0,0,0,1,0,0,0,0,0,0,0,0,0
530,17,0,0,0,0,1,0,0,0,0,0,0,0,5
531,17,0,0,0,0,1,0,0,0,0,0,0,0,5
532,17,0,0,0,0,1,0,0,0,0,0,0,0,5
533,17,0,0,0,1,0,0,0,0,0,0,0,0,0
536,17,0,0,0,1,0,0,0,0,0,0,0,0,0
537,20,0,0,0,1,0,0,0,0,0,0,0,0,0
538,17,0,0,0,1,0,0,0,0,0,0,0,0,0
539,17,0,0,0,0,1,0,0,0,0,0,0,0,5
541,17,0,0,0,0,0,1,0,0,0,0,0,0,0
542,20,0,0,0,0,1,0,0,0,0,0,0,0,5
543,17,0,0,0,0,1,0,0,0,0,0,0,0,5
544,20,0,0,0,1,0,0,0,0,0,0,0,0,0
545,20,0,0,0,0,0,0,1,0,0,0,0,0,4
774,38,0,0,0,0,0,0,1,0,0,0,0,0,4
776,39,0,0,0,1,0,0,0,0,0,0,0,0,0
778,39,0,0,0,1,0,0,0,0,0,0,0,0,0
780,39,0,0,0,1,0,0,0,0,0,0,0,0,0
782,39,0,0,0,0,0,0,1,0,0,0,0,0,4
551,17,0,0,0,1,0,0,0,0,0,0,0,0,0
552,17,0,0,0,0,0,0,1,0,0,0,0,0,4
553,17,0,0,0,0,1,0,0,0,0,0,0,0,5
471,18,0,0,0,1,0,0,0,0,0,0,0,0,0
472,18,0,0,0,1,0,0,0,0,0,0,0,0,0
473,18,0,0,0,1,0,0,0,0,0,0,0,0,0
474,18,0,0,0,1,0,0,0,0,0,0,0,0,0
475,18,0,0,0,1,0,0,0,0,0,0,0,0,0
476,18,0,0,0,0,0,0,1,0,0,0,0,0,4
477,18,0,0,0,1,0,0,0,0,0,0,0,0,0
478,18,0,0,0,0,0,0,1,0,0,0,0,0,4
479,18,0,0,0,0,1,0,0,0,0,0,0,0,5
480,18,0,0,0,0,1,0,0,0,0,0,0,0,5
481,18,0,0,0,1,0,0,0,0,0,0,0,0,0
482,18,0,0,0,1,0,0,0,0,0,0,0,0,0
483,18,0,0,0,0,1,0,0,0,0,0,0,0,5
554,17,0,0,0,1,0,0,0,0,0,0,0,0,0
555,17,0,0,0,0,0,0,0,0,0,1,0,0,0
556,17,0,0,0,1,0,0,0,0,0,0,0,0,0
557,17,0,0,0,0,0,0,1,0,0,0,0,0,4
558,17,0,0,0,0,1,0,0,0,0,0,0,0,5
559,17,0,0,0,1,0,0,0,0,0,0,0,0,0
489,18,0,0,0,0,0,0,0,0,0,1,0,0,0
490,18,0,0,0,1,0,0,0,0,0,0,0,0,0
491,18,0,0,0,1,0,0,0,0,0,0,0,0,0
560,17,0,0,0,1,0,0,0,0,0,0,0,0,0
561,17,0,0,0,1,0,0,0,0,0,0,0,0,0
562,21,0,0,0,1,0,0,0,0,0,0,0,0,0
563,21,0,0,0,0,0,0,1,0,0,0,0,0,4
564,21,0,0,0,0,1,0,0,0,0,0,0,0,5
565,21,0,0,0,1,0,0,0,0,0,0,0,0,0
566,21,0,0,0,0,0,0,0,0,0,1,0,0,0
567,22,0,0,0,1,0,0,0,0,0,0,0,0,0
568,22,0,0,0,1,0,0,0,0,0,0,0,0,0
569,22,0,0,0,0,1,0,0,0,0,0,0,0,5
570,23,0,0,0,0,0,0,0,0,1,0,0,0,0
784,39,0,0,0,0,0,0,1,0,0,0,0,0,4
786,41,0,0,0,1,0,0,0,0,0,0,0,0,0
788,41,0,0,0,0,1,0,0,0,0,0,0,0,5
789,41,0,0,0,0,1,0,0,0,0,0,0,0,5
791,41,0,0,0,0,0,0,1,0,0,0,0,0,4
792,41,0,0,0,1,0,0,0,0,0,0,0,0,0
793,41,0,0,0,0,1,0,0,0,0,0,0,0,5
571,23,0,0,0,1,0,0,0,0,0,0,0,0,0
572,23,0,0,0,1,0,0,0,0,0,0,0,0,0
1145,52,0,0,0,1,0,0,0,0,0,0,0,0,0
1149,52,0,0,0,1,0,0,0,0,0,0,0,0,0
1157,52,0,0,0,0,1,0,0,0,0,0,0,0,5
577,25,0,0,0,1,0,0,0,0,0,0,0,0,0
578,26,0,0,0,1,0,0,0,0,0,0,0,0,0
579,26,0,0,0,1,0,0,0,0,0,0,0,0,0
580,26,0,0,0,0,1,0,0,0,0,0,0,0,5
581,26,0,0,0,0,1,0,0,0,0,0,0,0,5
582,26,0,0,0,0,1,0,0,0,0,0,0,0,5
583,26,0,0,0,0,1,0,0,0,0,0,0,0,5
584,26,0,0,0,0,1,0,0,0,0,0,0,0,5
585,26,0,0,0,0,1,0,0,0,0,0,0,0,5
586,26,0,0,0,0,1,0,0,0,0,0,0,0,5
587,26,0,0,0,1,0,0,0,0,0,0,0,0,0
588,26,0,0,0,0,0,0,0,0,0,1,0,0,0
589,26,0,0,0,1,0,0,0,0,0,0,0,0,0
591,28,0,0,0,1,0,0,0,0,0,0,0,0,0
592,28,0,0,0,0,0,0,1,0,0,0,0,0,4
593,28,0,0,0,0,0,0,1,0,0,0,0,0,4
594,28,0,0,0,0,1,0,0,0,0,0,0,0,5
595,28,0,0,0,0,0,0,1,0,0,0,0,0,4
598,29,0,0,0,1,0,0,0,0,0,0,0,0,0
599,29,0,0,0,0,0,0,0,0,1,0,0,0,0
600,29,0,0,0,1,0,0,0,0,0,0,0,0,0
601,29,0,0,0,0,0,0,1,0,0,0,0,0,4
602,29,0,0,0,1,0,0,0,0,0,0,0,0,0
603,29,0,0,0,1,0,0,0,0,0,0,0,0,0
604,29,0,0,0,1,0,0,0,0,0,0,0,0,0
605,29,0,0,0,0,1,0,0,0,0,0,0,0,5
606,29,0,0,0,1,0,0,0,0,0,0,0,0,0
755,36,0,0,0,1,0,0,0,0,0,0,0,0,0
612,30,0,0,0,1,0,0,0,0,0,0,0,0,0
613,30,0,0,0,1,0,0,0,0,0,0,0,0,0
614,30,0,0,0,1,0,0,0,0,0,0,0,0,0
615,30,0,0,0,0,1,0,0,0,0,0,0,0,5
616,30,0,0,0,0,0,0,0,0,1,0,0,0,0
617,30,0,0,0,1,0,0,0,0,0,0,0,0,0
618,31,0,0,0,1,0,0,0,0,0,0,0,0,0
619,31,0,0,0,0,0,0,0,0,1,0,0,0,0
620,31,0,0,0,1,0,0,0,0,0,0,0,0,0
621,31,0,0,0,0,0,0,1,0,0,0,0,0,4
622,31,0,0,0,0,0,0,1,0,0,0,0,0,4
757,36,0,0,0,1,0,0,0,0,0,0,0,0,0
624,31,0,0,0,0,1,0,0,0,0,0,0,0,5
625,31,0,0,0,1,0,0,0,0,0,0,0,0,0
759,36,0,0,0,0,1,0,0,0,0,0,0,0,5
761,37,0,0,0,1,0,0,0,0,0,0,0,0,0
763,37,0,0,0,1,0,0,0,0,0,0,0,0,0
765,37,0,0,0,0,1,0,0,0,0,0,0,0,5
631,32,0,0,0,1,0,0,0,0,0,0,0,0,0
632,32,0,0,0,0,0,0,1,0,0,0,0,0,4
633,32,0,0,0,1,0,0,0,0,0,0,0,0,0
634,32,0,0,0,1,0,0,0,0,0,0,0,0,0
635,32,0,0,0,0,1,0,0,0,0,0,0,0,5
636,32,0,0,0,0,1,0,0,0,0,0,0,0,5
637,32,0,0,0,1,0,0,0,0,0,0,0,0,0
638,32,0,0,0,0,0,0,1,0,0,0,0,0,4
639,32,0,0,0,0,0,0,1,0,0,0,0,0,4
640,32,0,0,0,1,0,0,0,0,0,0,0,0,0
641,32,0,0,0,0,0,0,0,0,1,0,0,0,0
642,32,0,0,0,1,0,0,0,0,0,0,0,0,0
643,32,0,0,0,1,0,0,0,0,0,0,0,0,0
644,32,0,0,0,1,0,0,0,0,0,0,0,0,0
645,32,0,0,0,0,1,0,0,0,0,0,0,0,5
646,32,0,0,0,1,0,0,0,0,0,0,0,0,0
647,33,0,0,0,1,0,0,0,0,0,0,0,0,0
648,33,0,0,0,1,0,0,0,0,0,0,0,0,0
649,34,0,0,0,1,0,0,0,0,0,0,0,0,0
650,34,0,0,0,1,0,0,0,0,0,0,0,0,0
651,34,0,0,0,0,1,0,0,0,0,0,0,0,5
652,34,0,0,0,0,1,0,0,0,0,0,0,0,5
653,34,0,0,0,0,1,0,0,0,0,0,0,0,5
654,34,0,0,0,0,1,0,0,0,0,0,0,0,5
655,34,0,0,0,0,1,0,0,0,0,0,0,0,5
656,34,0,0,0,0,0,0,1,0,0,0,0,0,4
657,34,0,0,0,1,0,0,0,0,0,0,0,0,0
773,38,0,0,0,1,0,0,0,0,0,0,0,0,0
775,38,0,0,0,0,1,0,0,0,0,0,0,0,5
777,39,0,0,0,0,0,0,0,0,1,0,0,0,0
779,39,0,0,0,1,0,0,0,0,0,0,0,0,0
781,39,0,0,0,0,0,0,1,0,0,0,0,0,4
783,39,0,0,0,0,0,0,1,0,0,0,0,0,4
785,39,0,0,0,1,0,0,0,0,0,0,0,0,0
787,41,0,0,0,1,0,0,0,0,0,0,0,0,0
790,41,0,0,0,0,0,0,1,0,0,0,0,0,4
794,41,0,0,0,1,0,0,0,0,0,0,0,0,0
795,41,0,0,0,0,1,0,0,0,0,0,0,0,5
796,41,0,0,0,1,0,0,0,0,0,0,0,0,0
1141,52,0,0,0,1,0,0,0,0,0,0,0,0,0
803,36,0,0,0,1,0,0,0,0,0,0,0,0,0
804,36,0,0,0,1,0,0,0,0,0,0,0,0,0
805,36,0,0,0,0,1,0,0,0,0,0,0,0,5
806,36,0,0,0,0,0,0,0,0,0,0,1,0,3
807,36,0,0,0,0,0,0,0,0,0,0,1,0,3
808,36,0,0,0,1,0,0,0,0,0,0,0,0,0
809,36,0,0,0,1,0,0,0,0,0,0,0,0,0
810,36,0,0,0,1,0,0,0,0,0,0,0,0,0
811,36,0,0,0,1,0,0,0,0,0,0,0,0,0
812,36,0,0,0,0,1,0,0,0,0,0,0,0,5
813,36,0,0,0,0,0,0,0,0,0,0,1,0,3
814,36,0,0,0,1,0,0,0,0,0,0,0,0,0
821,43,0,0,0,1,0,0,0,0,0,0,0,0,0
822,43,0,0,0,0,0,0,1,0,0,0,0,0,4
823,43,0,0,0,1,0,0,0,0,0,0,0,0,0
824,43,0,0,0,0,1,0,0,0,0,0,0,0,5
825,43,0,0,0,0,1,0,0,0,0,0,0,0,5
826,43,0,0,0,0,1,0,0,0,0,0,0,0,5
827,43,0,0,0,0,1,0,0,0,0,0,0,0,5
828,43,0,0,0,0,1,0,0,0,0,0,0,0,5
829,43,0,0,0,0,1,0,0,0,0,0,0,0,5
830,43,0,0,0,0,1,0,0,0,0,0,0,0,5
