user_id,value_all,value_delivery,value_ของหวาน,value_ชาบู,value_ปิ้งย่าง,value_สเต็ก,value_อาหารญี่ปุ่น,value_อาหารเกาหลี,value_อาหารไทย,value_เครื่องดื่ม,clusters
67,0,0,0,0,1,0,0,0,0,0,0
75,0,0,0,0,1,0,0,0,0,0,0
78,0,0,0,0,1,0,0,0,0,0,0
167,0,0,1,1,1,0,0,1,1,1,0
41,0,0,0,0,1,0,0,0,1,0,0
65,0,0,0,0,1,0,0,0,0,0,0
58,0,0,0,0,1,0,0,0,0,0,0
29,0,0,0,0,1,0,0,0,0,0,0
70,0,0,0,0,1,0,0,0,0,1,0
193,0,0,0,0,1,0,0,0,0,0,0
28,0,0,0,0,1,0,0,0,1,1,0
46,0,0,0,0,1,1,0,0,0,1,0
262,1,0,0,0,1,1,1,1,1,0,0
32,0,1,0,0,1,0,0,0,0,1,0
62,0,0,0,0,1,0,0,1,1,1,0
68,0,1,0,0,1,1,1,1,1,1,0
219,0,0,0,0,1,0,0,1,0,1,0
31,0,0,0,0,1,0,0,0,1,0,0
43,0,0,0,0,1,0,0,0,1,0,0
212,0,1,0,0,1,1,1,0,1,1,0
116,0,0,0,1,1,1,1,0,1,0,0
56,0,0,0,0,1,0,0,0,1,1,0
208,0,0,0,0,1,0,0,0,1,1,0
186,0,1,0,0,0,0,0,0,1,0,1
76,0,1,0,0,0,0,0,0,0,0,1
231,0,1,0,0,0,0,0,0,0,0,1
112,0,0,0,0,0,1,0,0,0,0,1
261,0,1,0,0,0,0,0,0,1,0,1
73,0,1,0,0,0,0,0,0,0,0,1
104,0,1,0,0,0,0,0,0,0,0,1
115,0,1,0,0,0,0,0,0,1,0,1
19,1,1,0,0,0,0,0,0,0,0,1
98,0,1,0,0,0,1,0,0,0,1,1
142,0,1,0,0,0,0,0,0,0,0,1
196,1,0,0,0,0,0,0,0,0,0,1
39,0,1,0,1,0,1,0,0,0,1,1
91,0,1,0,0,0,0,0,0,0,0,1
251,1,0,0,0,0,0,0,0,0,0,1
140,0,1,0,0,0,0,0,0,1,0,1
105,1,1,0,0,0,1,0,0,1,0,1
107,0,0,0,0,0,1,0,0,1,1,2
18,0,0,1,1,1,1,0,0,1,1,2
255,0,0,1,0,0,1,0,1,1,1,2
213,0,0,0,1,0,1,0,0,1,1,2
87,1,0,0,0,0,1,0,0,1,1,2
267,0,0,0,0,0,0,0,0,1,1,3
37,0,0,0,0,0,0,0,0,0,1,3
224,0,0,0,0,0,0,0,0,1,1,3
218,0,0,0,0,0,0,0,0,1,1,3
21,0,0,0,0,0,0,0,0,0,1,3
86,0,0,0,0,0,0,0,0,1,1,3
221,0,0,0,0,0,0,0,0,1,1,3
20,0,0,0,0,0,0,0,0,0,1,3
34,0,0,0,0,0,0,0,0,0,1,3
17,0,0,0,0,0,0,0,0,0,1,3
84,1,0,0,0,0,0,0,0,1,1,3
127,0,0,0,0,0,0,0,0,1,1,3
51,0,1,0,0,0,0,0,0,1,1,3
57,0,0,0,0,0,0,0,0,0,1,3
134,0,0,0,0,0,0,0,0,1,1,3
182,1,0,0,0,0,0,0,0,1,1,3
191,0,0,0,0,0,0,0,0,1,1,3
198,0,0,0,0,0,0,0,0,0,1,3
216,0,0,0,0,0,0,0,0,0,1,3
268,1,0,0,0,0,0,0,0,1,1,3
170,0,0,0,0,0,0,0,0,1,1,3
81,0,0,0,0,0,0,0,0,1,1,3
153,0,0,0,0,0,0,0,0,1,1,3
121,0,0,1,0,0,0,1,1,1,1,3
158,0,0,0,0,0,0,0,0,0,1,3
96,0,0,0,0,0,0,0,0,1,1,3
171,0,0,0,0,0,0,0,0,1,1,3
223,0,0,0,0,0,0,0,0,1,1,3
125,0,0,0,0,0,0,0,0,1,1,3
238,0,1,0,0,0,0,0,0,1,1,3
226,0,0,0,0,0,0,0,0,0,1,3
236,0,0,0,0,0,0,0,0,1,1,3
189,0,0,0,0,0,0,0,0,1,1,3
176,0,0,0,0,0,0,0,0,1,1,3
254,0,0,0,0,0,0,0,0,1,1,3
260,1,1,0,0,0,0,0,0,1,1,3
258,0,0,0,0,0,0,0,0,0,1,3
230,0,0,0,0,0,0,0,0,1,1,3
266,0,0,0,0,0,0,0,0,1,1,3
52,0,0,0,0,0,0,0,0,1,1,3
246,0,0,0,0,0,0,0,0,1,1,3
253,0,0,0,0,0,0,0,0,1,1,3
23,0,0,0,0,0,0,0,0,0,1,3
111,0,0,0,0,0,0,0,0,1,1,3
209,0,0,0,0,0,0,0,0,1,0,4
211,0,0,0,0,0,0,0,0,1,0,4
245,0,0,0,0,0,0,0,0,1,0,4
144,0,0,0,0,0,0,0,0,1,0,4
225,0,0,0,0,0,0,0,0,1,0,4
108,0,0,0,0,0,0,0,0,1,0,4
85,0,0,0,0,0,0,0,0,1,0,4
77,0,0,0,0,0,1,0,0,1,0,4
244,0,0,0,0,0,0,0,0,1,0,4
205,0,0,0,0,0,0,0,0,1,0,4
120,0,0,0,0,0,0,0,0,1,0,4
119,0,0,0,0,0,0,0,0,1,0,4
252,0,0,0,0,0,0,0,0,1,0,4
235,0,0,0,0,0,0,0,0,1,0,4
38,0,0,0,0,0,0,0,0,1,0,4
256,0,0,0,0,0,0,0,0,1,0,4
242,0,0,0,0,0,0,0,0,1,0,4
250,0,0,0,0,0,0,0,0,1,0,4
97,0,0,0,0,0,0,0,0,1,0,4
117,0,0,0,0,0,0,0,0,1,0,4
241,0,0,0,0,0,0,0,0,1,0,4
82,0,0,0,0,0,0,0,0,1,0,4
44,0,0,0,0,0,0,0,0,1,0,4
165,0,0,0,0,0,0,0,0,1,0,4
162,0,0,0,0,0,0,0,0,1,0,4
160,0,0,0,0,0,0,0,0,1,0,4
66,0,0,0,0,0,0,0,0,1,0,4
133,0,0,0,0,0,0,0,0,1,0,4
148,0,0,0,0,0,0,0,0,1,0,4
152,0,0,0,0,0,0,0,0,1,0,4
149,0,0,0,0,0,0,0,0,1,0,4
74,0,0,0,0,0,0,0,0,1,0,4
136,0,0,0,0,0,0,0,0,1,0,4
206,0,0,0,0,0,0,0,0,1,0,4
54,0,0,0,0,0,0,0,0,1,0,4
243,0,0,0,0,0,0,0,0,1,0,4
93,0,0,0,0,0,1,0,0,1,0,4
181,0,0,0,0,0,0,0,0,1,0,4
114,0,0,0,0,0,0,0,0,1,0,4
184,0,0,0,0,0,0,0,0,1,0,4
187,0,0,0,0,0,0,0,0,1,0,4
188,1,0,0,0,0,0,0,0,1,0,4
95,0,0,0,0,0,0,0,0,1,0,4
47,0,0,0,0,0,0,0,0,1,0,4
240,0,0,0,0,0,0,0,0,1,0,4
113,0,0,0,0,0,1,0,0,1,0,4
126,0,0,0,0,0,0,0,0,1,0,4
200,0,0,0,0,0,0,0,0,1,0,4
101,0,0,0,0,0,1,0,0,1,0,4
179,1,0,0,0,0,0,0,0,1,0,4
173,0,0,0,0,0,0,0,0,1,0,4
